iter	Passed	Remaining
791	22127	5811
792	22152	5782
793	22180	5754
794	22207	5726
795	22235	5698
796	22262	5670
797	22289	5642
798	22312	5613
799	22339	5584
800	22366	5556
801	22391	5528
802	22418	5499
803	22446	5471
804	22471	5443
805	22499	5415
806	22524	5386
807	22552	5358
808	22577	5330
809	22603	5302
810	22629	5273
811	22657	5245
812	22688	5218
813	22713	5190
814	22741	5162
815	22767	5133
816	22793	5105
817	22819	5077
818	22846	5049
819	22872	5020
820	22901	4993
821	22927	4964
822	22953	4936
823	22979	4908
824	23004	4879
825	23032	4851
826	23062	4824
827	23089	4796
828	23114	4767
829	23141	4739
830	23168	4711
831	23196	4683
832	23222	4655
833	23249	4627
834	23275	4599
835	23300	4570
836	23329	4543
837	23361	4516
838	23388	4488
839	23417	4460
840	23442	4432
841	23473	4404
842	23498	4376
843	23527	4348
844	23552	4320
845	23581	4292
846	23608	4264
847	23633	4236
848	23660	4208
849	23687	4180
850	23715	4152
851	23744	4124
852	23771	4096
853	23799	4068
854	23827	4040
855	23851	4012
856	23879	3984
857	23907	3956
858	23933	3928
859	23962	3900
860	23987	3872
861	24013	3844
862	24042	3816
863	24069	3788
864	24097	3760
865	24124	3732
866	24149	3704
867	24178	3676
868	24204	3648
869	24229	3620
870	24257	3592
871	24288	3565
872	24315	3537
873	24342	3509
874	24370	3481
875	24395	3453
876	24424	3425
877	24451	3397
878	24476	3369
879	24502	3341
880	24529	3313
881	24556	3285
882	24585	3257
883	24612	3229
884	24639	3201
885	24667	3173
886	24696	3146
887	24726	3118
888	24752	3090
889	24783	3063
890	24811	3035
891	24836	3007
892	24861	2978
893	24889	2951
894	24920	2923
895	24947	2895
896	24974	2867
897	25001	2839
898	25027	2811
899	25055	2783
900	25082	2756
901	25109	2728
902	25136	2700
903	25161	2672
904	25187	2643
905	25213	2616
906	25241	2588
907	25270	2560
908	25295	2532
909	25321	2504
910	25349	2476
911	25376	2448
912	25405	2420
913	25430	2392
914	25460	2365
915	25488	2337
916	25519	2309
917	25546	2281
918	25572	2253
919	25602	2226
920	25628	2198
921	25657	2170
922	25684	2142
923	25712	2114
924	25740	2087
925	25770	2059
926	25798	2031
927	25826	2003
928	25854	1975
929	25879	1947
930	25908	1920
931	25934	1892
932	25959	1864
933	25985	1836
934	26009	1808
935	26039	1780
936	26067	1752
937	26093	1724
938	26121	1696
939	26149	1669
940	26177	1641
941	26206	1613
942	26236	1585
943	26265	1558
944	26295	1530
945	26321	1502
946	26348	1474
947	26375	1446
948	26404	1419
949	26431	1391
950	26459	1363
951	26489	1335
952	26516	1307
953	26543	1279
954	26572	1252
955	26600	1224
956	26625	1196
957	26651	1168
958	26680	1140
959	26707	1112
960	26735	1085
961	26765	1057
962	26791	1029
963	26821	1001
964	26849	973
965	26878	946
966	26904	918
967	26932	890
968	26958	862
969	26985	834
970	27014	806
971	27040	778
972	27069	751
973	27095	723
974	27125	695
975	27154	667
976	27182	639
977	27210	612
978	27236	584
979	27267	556
980	27294	528
981	27321	500
982	27348	472
983	27374	445
984	27404	417
985	27433	389
986	27461	361
987	27487	333
988	27514	306
989	27543	278
990	27569	250
991	27599	222
992	27626	194
993	27656	166
994	27682	139
995	27710	111
996	27738	83
997	27767	55
998	27797	27
999	27825	0
